,listing_id,id,date,reviewer_id,reviewer_name,comments,Year
729142,22215734,280608577,2018-06-23,40202860,Ben,"Super convenient to LAX, clean and comfortable! We had an overnight in LA and wanted to be near LAX and Isaac’s listing fit the bill perfectly. The room was clean, the bed was comfy, the bathroom was recently remodeled and all of the linens and towels were clean, new and fluffy. Thanks for a great night Isaac!",2018.0
729155,22215734,281319827,2018-06-24,15814467,Cynthia,"Isaac’s place was perfect. We had a quick overnight layover at LAX, and the location was perfect for us. Checkin was a breeze, everything was sparkling clean, and the amenities were lovely. I e would definitely stay again.",2018.0
729156,22215734,281896275,2018-06-25,160988222,Jewl,Amazing stay! ,2018.0
729157,22215734,282958303,2018-06-28,26157518,Esther,"Isaac is a great host, very accommodating. Thanks for a great stay",2018.0
729158,22215734,283398525,2018-06-29,178953561,Chris,This is a VERY nice place! Very clean and roomy. It is very convenient if you are renting a car from LAX because it is within walking distance from drop off. And is 12$ to uber to the airport. I highly recommend and will be back if I'm ever in the area.,2018.0
729159,22215734,283887120,2018-06-30,82095635,Reza,"Amazing place, amazing host! I highly recommend it it’s like a 4-star hotel very cosy and clean and quiet. I also needed something at midnight and the host went bought it for me! Very awesome place and host will definitely go back.",2018.0
729160,22215734,284630713,2018-07-01,5740029,Vannessa,Beautiful room close to LAX! Super cute and clean with lots of light. Bed is comfy too! ,2018.0
729161,22215734,285106265,2018-07-02,91914133,Anabel,"Very clean, comfy and quiet. His guest house was an easy place to find and with parking just down the street. Isaac was also very easy to communicate with.   I would recommend to stay here if you're in need of some good sleep. Would stay here again :)",2018.0
729162,22215734,285828553,2018-07-04,26646568,Phil,"Very comfortable accommodations for a couple, just the right size, quiet, safe neighborhood, great shower and nice amenities. We will definitely try to stay on our next visit to LA.  ",2018.0
729163,22215734,288420504,2018-07-09,175165115,Mehr,"Very clean, quiet and well<br/>Organized space. Modern design with everything you need at your fingertips. <br/>",2018.0
729164,22215734,290096639,2018-07-13,53434319,Nick,"If you want something close to LAX, Isaac’s place is the spot! Great stay!!!",2018.0
729165,22215734,292345456,2018-07-17,98550022,Scott,"Great little place close to the airport. <br/>Super clean and neat. <br/>I used it for a layover, but it’s a nice place and I would use it again for any reason   ",2018.0
729166,22215734,292726529,2018-07-18,193162456,Hannah,Isaac‘s Unterkunft war hübsch eingerichtet und super sauber. Hat meinen Erwartungen mehr als entsprochen! ,2018.0
729167,22215734,293163982,2018-07-19,165889410,Keith,Wonderful place!  Thank you Isaac!!!,2018.0
729184,22215734,293631066,2018-07-20,159992331,Bryson,"Very clean, outstanding place.",2018.0
729217,22215734,294233377,2018-07-21,88807130,Angel,Great location ,2018.0
729218,22215734,295080763,2018-07-22,150082874,Márcia,This room is wonderful! It looks like a 5-stars hotel! Isaac was perfect and helped us a lot.Thank you very much!,2018.0
729220,22215734,295997143,2018-07-24,9898716,Cheryl,Another wonderful stay at Isaac’s place! His place is super clean and private. Check in and out is a breeze with the keyless entry. I really appreciate the mini fridge fully stocked with beverages. So thoughtful! Thanks again Isaac!,2018.0
729221,22215734,296403261,2018-07-25,160653025,Robert,See memo left to Isaac,2018.0
729222,22215734,296843746,2018-07-26,24671901,Arielle,This place was spotless. Very cute and cozy. Be patient with the air conditioner as it will take about 20 minutes to cool down the room. Just shower on a hot summer night and by the time you get ready for bed it should be fine. The place itself is super clean. That is all I wanted. ,2018.0
729223,22215734,298838878,2018-07-29,13112289,Sharon,Isaac’s studio is accurately described. The suite is very clean and spacious. We appreciated the amenities in the suite. It is close to airport. Friendly hosts. We would stay again.,2018.0
